time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa10_exact,enrolments_pa10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Pupil Referral Unit,8,414,67911,21896,13470,8426,32.2,19.8,12.4,291,70.3,2863,659,0,448,3,53,.,1223,8221,13470,125,337,7956,8,8426,21896
six half terms,201617,local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Pupil Referral Unit,2,477,99981,36888,15465,21423,36.9,15.5,21.4,379,79.5,4350,986,6,524,0,26,.,610,8949,15451,150,4,21257,12,21423,36874
six half terms,201516,national,E92000001,England,,,,,,Pupil Referral Unit,350,38520,7533225,2453340,1397521,1055819,32.6,18.6,14,27910,72.5,316380,58110,2460,28648,1369,6601,.,94203,866352,1374123,12033,47249,958642,22129,1040053,2414176
six half terms,201516,regional,E92000001,England,E12000001,North East,,,,Pupil Referral Unit,17,1910,426309,123899,59384,64515,29.1,13.9,15.1,1360,71.2,18252,3241,27,674,0,355,.,3767,33068,59384,690,2500,59464,1861,64515,123899
six half terms,201516,regional,E92000001,England,E12000002,North West,,,,Pupil Referral Unit,52,6340,1322300,461231,239926,221305,34.9,18.1,16.7,4680,73.8,56170,10225,316,3286,222,970,.,18213,139831,229233,2162,9562,190334,7593,209651,438884
six half terms,201516,regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Pupil Referral Unit,40,3460,732099,198890,88152,110738,27.2,12,15.1,2325,67.2,29113,5365,367,558,23,707,.,8291,43727,88151,2025,2534,103831,2344,110734,198885
six half terms,201516,regional,E92000001,England,E12000004,East Midlands,,,,Pupil Referral Unit,19,2960,414285,112395,60200,52195,27.1,14.5,12.6,2070,70,14269,3349,69,3015,1,294,.,3832,27102,51931,746,3307,47209,110,51372,103303
six half terms,201516,regional,E92000001,England,E12000005,West Midlands,,,,Pupil Referral Unit,42,4140,884452,286569,168770,117799,32.4,19.1,13.3,2920,70.5,36444,6479,577,4472,93,808,.,10538,109253,168664,1355,4025,106397,6022,117799,286463
six half terms,201516,regional,E92000001,England,E12000006,East of England,,,,Pupil Referral Unit,40,3760,828567,301161,201323,99838,36.3,24.3,12,2965,78.8,35591,5364,93,4127,652,725,.,14036,140735,201323,1020,3695,94533,590,99838,301161
six half terms,201516,regional,E92000001,England,E12000008,South East,,,,Pupil Referral Unit,47,5155,1005390,366015,229772,136243,36.4,22.9,13.6,3885,75.4,40291,8762,114,4482,232,794,.,10093,161128,225896,1174,5277,126679,421,133551,359447
six half terms,201516,regional,E92000001,England,E12000009,South West,,,,Pupil Referral Unit,33,4285,696051,263715,196695,67020,37.9,28.3,9.6,3320,77.5,35887,5294,38,1545,83,917,.,8173,144758,196695,1084,3641,60337,1958,67020,263715
six half terms,201516,regional,E92000001,England,E13000001,Inner London,,,,Pupil Referral Unit,28,2985,520120,136998,55042,81956,26.3,10.6,15.8,1950,65.3,17782,4138,449,3231,0,603,.,8357,20029,54589,745,3644,76669,377,81435,136024
six half terms,201516,regional,E92000001,England,E13000002,Outer London,,,,Pupil Referral Unit,32,3525,703652,202467,98257,104210,28.8,14,14.8,2440,69.2,32581,5893,410,3258,63,428,.,8903,46721,98257,1032,9064,93189,853,104138,202395
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Pupil Referral Unit,4,112,28671,7330,2363,4967,25.6,8.2,17.3,81,72.3,1427,160,15,98,0,41,.,237,383,2361,22,590,4283,71,4966,7327
six half terms,201516,local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Pupil Referral Unit,1,154,38284,8150,3334,4816,21.3,8.7,12.6,98,63.6,1973,285,5,0,0,92,.,67,912,3334,6,0,4810,0,4816,8150
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Pupil Referral Unit,1,225,45979,11291,4606,6685,24.6,10,14.5,140,62.2,1710,305,60,157,0,4,.,931,1439,4606,36,22,6626,1,6685,11291
six half terms,201516,local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Pupil Referral Unit,3,194,50156,9513,4600,4913,19,9.2,9.8,128,66,1508,208,94,709,0,170,.,530,1381,4600,34,252,4569,58,4913,9513
